1871,3292,60,56,582,1221,Siegelman,Apert,DEF
2773,2335,4,150,935,1552,Sijstorm,Williams,DEF
766,2755,202,15,1035,1222,Ragner-Kurt,Slaw,DEF
474,853,399,111,995,1179,Ladurbi,Schultzs,DEF
515,2692,163,256,870,1156,Koplec,Mullin,DEF
3426,4018,217,122,1041,1398,Baden,DiVenanzo,DEF
263,4450,469,496,723,1218,Kelly-Colven,Aronoff,DEF
1113,1534,66,29,832,1577,Sachman,Shapira,DEF
2020,3906,84,312,680,1573,Halperin,Seligman,DEF
2359,2217,124,431,745,1121,Hacker,Haines,DEF
3843,1721,6,477,809,1375,Dalponte,Berhoff,DEF
1677,3252,408,435,673,1267,Oliver,Berhoff,DEF
4365,2774,314,122,1039,1448,Price,Mintz,DEF
4339,3844,89,180,878,1627,Pappolone,Chen,DEF
3457,1589,391,162,870,1203,Spevak,Gavlin,DEF
4381,515,426,31,723,1612,Suckerman,Kopin,DEF
1103,4147,392,276,568,1348,Prokos,Klipps,DEF
4132,3951,171,197,1071,1551,Baim,Fuick,DEF
617,1511,429,265,1018,1408,Raupp,Meyers,DEF
3386,3654,219,59,927,1577,Rossi,Navarro,DEF
3848,355,343,226,782,1354,Mahon,Portny,DEF
4337,2273,15,272,914,1364,Blinderman,Balzer,DEF
546,2892,475,382,615,1200,Chubin,Sandler,DEF
2758,2070,280,271,834,1215,Baer,Scholtz,DEF
2272,1915,86,476,684,1340,Lasky,Aaronson,DEF
4993,2047,99,279,953,1545,Rodenbeck,Lebow-Jacobs,DEF
3763,3951,19,164,673,1601,Kanter,Patrick,DEF
2056,1562,285,268,620,1215,Sikula,Blumenthal,DEF
2078,2819,465,165,704,1385,Baum,Freedman,DEF
4792,329,448,212,1029,1583,Schonfeld,Ronnick,DEF
1820,516,343,270,1072,1185,Nadaue,Bock,DEF
635,1181,133,377,929,1548,Braun,Scoravacco,DEF
3927,244,345,148,712,1503,Cross,Miligori,DEF
1249,1520,175,447,893,1370,Biaggi,Baker,DEF
1399,861,279,347,1005,1627,Devora,Abraham,DEF
4266,2608,199,492,1093,1474,Schelbas,Salgado,DEF
3773,1032,427,429,617,1188,Berg,Levin,DEF
4672,3325,451,265,600,1341,Parsons,Bolender,DEF
3510,3163,381,16,926,1260,Prokos,Munski,DEF
169,2503,56,48,1083,1226,Aguilar,Paschen,DEF
2590,4782,222,64,894,1260,Cawn,Heller,DEF
3274,1862,277,446,663,1264,Blackard,Holstein,DEF
1983,1689,49,89,699,1151,Pyster,Lea,DEF
4037,799,129,48,693,1590,Schad,Leppola,DEF
945,890,337,386,608,1390,Karen,Bauden,DEF
4270,140,149,464,594,1167,Lipton,Black,DEF
2997,284,401,18,1005,1335,Aven,Shaffer,DEF
170,423,32,324,780,1156,DeFillipos,Ruehl-Oreily,DEF
1401,4400,12,167,661,1247,Denver,Eison,DEF
3307,1627,500,97,735,1571,Podolony,Palmer,DEF
4843,4278,450,296,1048,1319,Slotnick,Pawsquesi,DEF
3285,1388,67,440,615,1153,Bederman,Robertson,DEF
4204,2983,65,75,1082,1410,Sakanoff,Aufox,DEF
2063,3119,494,490,1061,1575,Samuels,Stickdale,DEF
4656,4395,364,308,713,1132,Oropeza-Monte,Littleman,DEF
3116,4746,111,422,1080,1218,Becker,Rice,DEF
4235,4918,180,28,629,1563,Furgatch,Ginsburg,DEF
1369,3644,76,461,779,1285,Glazier,Kilipowski,DEF
1329,3747,386,348,777,1107,Landy,Storck,DEF
393,4368,391,228,665,1475,Balzer,Inman,DEF
4691,390,199,317,676,1436,Berg,Ruehl-Oreily,DEF
4689,3601,338,117,620,1100,Oak,Williquette,DEF
1321,1532,168,307,549,1098,Carney,Rappaport,DEF
284,1999,372,131,559,1403,Rubens,Ginsburg,DEF
454,966,348,101,824,1459,Mahon,Lea-Anderson,DEF
4305,865,106,58,685,1605,Kordick,Fox,DEF
1591,4505,117,251,789,1135,Kay,Mazer,DEF
1912,3596,236,450,859,1560,Cao,Park,DEF
1640,4595,66,130,823,1470,Pinto,Koch,DEF
